"Test","Status","Method","Expected","Actual"
"Example 1: Basic union","PASS","HashSet","5","5"
"Example 2: Different elements","PASS","HashSet","7","7"
"Example 3: Multiple duplicates","PASS","HashSet","2","2"
"Single element arrays - same","PASS","HashSet","1","1"
"Single element arrays - different","PASS","HashSet","2","2"
"No overlap","PASS","HashSet","6","6"
"Complete overlap","PASS","HashSet","3","3"
"One element overlap","PASS","HashSet","7","7"
"Array with zeros","PASS","HashSet","4","4"
"Large numbers","PASS","HashSet","3","3"
"All same elements in first array","PASS","HashSet","3","3"
"Negative numbers","PASS","HashSet","5","5"
"Hashtable method - Basic test","PASS","Hashtable","5","5"
"Select-Object method - Basic test","PASS","SelectUnique","5","5"
"Small arrays - 10 elements","PASS","HashSet","15","15"
"Medium arrays - 100 elements","PASS","HashSet","150","150"
"Large arrays - 1000 elements","PASS","HashSet","1500","1500"
"All duplicates in both arrays","PASS","HashSet","1","1"
"Large range with sparse values","PASS","HashSet","6","6"
